ParentLocationCode,ParentLocation,SpatialDimValueCode,Location,Year,Both sexes,Value,AvgCigarettePriceDollars,AvgTaxesAsPctCigarettePrice
EUR,Europe,ALB,Albania,2014,Male,51.7,,
AFR,Africa,DZA,Algeria,2014,Male,37.3,2.09,40.9
EUR,Europe,AND,Andorra,2014,Male,38.7,,
AMR,Americas,ARG,Argentina,2014,Male,32.3,3.47,69.7
EUR,Europe,ARM,Armenia,2014,Male,54.8,1.74,44.1
WPR,Western Pacific,AUS,Australia,2014,Male,20.7,10.64,58.4
EUR,Europe,AUT,Austria,2014,Male,34.4,5.34,74.9
EUR,Europe,AZE,Azerbaijan,2014,Male,42,2.7,17.6
AMR,Americas,BHS,Bahamas,2014,Male,18.5,9.75,41.6
EMR,Eastern Mediterranean,BHR,Bahrain,2014,Male,41.9,,
SEAR,South-East Asia,BGD,Bangladesh,2014,Male,61.3,1.54,75.6
AMR,Americas,BRB,Barbados,2014,Male,15.4,,
EUR,Europe,BLR,Belarus,2014,Male,46.5,1.77,52.7
EUR,Europe,BEL,Belgium,2014,Male,28.3,6.08,76.4
AFR,Africa,BEN,Benin,2014,Male,14.8,,
EUR,Europe,BIH,Bosnia and Herzegovina,2014,Male,48.3,3.86,86
AFR,Africa,BWA,Botswana,2014,Male,37.3,,
AMR,Americas,BRA,Brazil,2014,Male,24.8,2.85,64.3
WPR,Western Pacific,BRN,Brunei Darussalam,2014,Male,28.8,,
EUR,Europe,BGR,Bulgaria,2014,Male,46.2,6.25,84
AFR,Africa,BFA,Burkina Faso,2014,Male,26.5,,
AFR,Africa,BDI,Burundi,2014,Male,20.5,2.26,41.2
WPR,Western Pacific,KHM,Cambodia,2014,Male,43.4,0.92,22.2
AFR,Africa,CMR,Cameroon,2014,Male,17.5,2.43,17.9
AMR,Americas,CAN,Canada,2014,Male,26.3,6.88,64.5
AFR,Africa,TCD,Chad,2014,Male,21.6,,
AMR,Americas,CHL,Chile,2014,Male,50.5,5.21,81.6
WPR,Western Pacific,CHN,China,2014,Male,49,2.13,47.8
AMR,Americas,COL,Colombia,2014,Male,14,1.81,49.5
AFR,Africa,COM,Comoros,2014,Male,32.3,1.96,50.8
AFR,Africa,COG,Congo,2014,Male,27.1,,
WPR,Western Pacific,COK,Cook Islands,2014,Male,34.3,,
AMR,Americas,CRI,Costa Rica,2014,Male,16.7,3.63,71.8
AFR,Africa,CIV,Côte d’Ivoire,2014,Male,26.2,,
EUR,Europe,HRV,Croatia,2014,Male,38.9,5.65,74.8
AMR,Americas,CUB,Cuba,2014,Male,43.5,,
EUR,Europe,CYP,Cyprus,2014,Male,52.5,5.52,77.3
EUR,Europe,CZE,Czechia,2014,Male,36.7,5.69,75.6
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2014,Male,38.5,,
EUR,Europe,DNK,Denmark,2014,Male,22,4.73,78.8
AMR,Americas,DOM,Dominican Republic,2014,Male,12.9,6.25,57.7
EMR,Eastern Mediterranean,EGY,Egypt,2014,Male,42,5.91,62.7
AMR,Americas,SLV,El Salvador,2014,Male,24.7,2.69,72
AFR,Africa,ERI,Eritrea,2014,Male,16,,
EUR,Europe,EST,Estonia,2014,Male,40.1,4.8,81.7
AFR,Africa,SWZ,Eswatini,2014,Male,19,,
AFR,Africa,ETH,Ethiopia,2014,Male,9,1.97,18.7
WPR,Western Pacific,FJI,Fiji,2014,Male,43.7,4.57,44
EUR,Europe,FIN,Finland,2014,Male,23.4,5.42,81.7
EUR,Europe,FRA,France,2014,Male,36.7,7.61,80.6
AFR,Africa,GMB,Gambia,2014,Male,29.5,4.42,34.4
EUR,Europe,GEO,Georgia,2014,Male,55.9,2.41,47.5
EUR,Europe,DEU,Germany,2014,Male,31.5,6.34,73.5
AFR,Africa,GHA,Ghana,2014,Male,7.8,2.41,28.3
EUR,Europe,GRC,Greece,2014,Male,47.8,5.75,81.6
AMR,Americas,GUY,Guyana,2014,Male,26.2,,
AMR,Americas,HTI,Haiti,2014,Male,14.1,,
EUR,Europe,HUN,Hungary,2014,Male,36.9,6.74,77.4
EUR,Europe,ISL,Iceland,2014,Male,16.7,8.89,56.4
SEAR,South-East Asia,IND,India,2014,Male,45.7,4.63,66.1
SEAR,South-East Asia,IDN,Indonesia,2014,Male,69.7,2.68,50.8
EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2014,Male,26.6,2.52,4.3
EMR,Eastern Mediterranean,IRQ,Iraq,2014,Male,41.9,,
EUR,Europe,IRL,Ireland,2014,Male,27.8,11.16,77.8
EUR,Europe,ISR,Israel,2014,Male,36.1,7.15,85
EUR,Europe,ITA,Italy,2014,Male,28.2,5.43,76.1
AMR,Americas,JAM,Jamaica,2014,Male,19.7,13,42.9
WPR,Western Pacific,JPN,Japan,2014,Male,36.5,4.34,62.9
EUR,Europe,KAZ,Kazakhstan,2014,Male,45,1.45,39.7
AFR,Africa,KEN,Kenya,2014,Male,22.9,1.78,49.3
WPR,Western Pacific,KIR,Kiribati,2014,Male,71.2,,
EMR,Eastern Mediterranean,KWT,Kuwait,2014,Male,41.8,,
EUR,Europe,KGZ,Kyrgyzstan,2014,Male,53.5,,
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2014,Male,65.6,,
EUR,Europe,LVA,Latvia,2014,Male,51,7.13,77.3
EMR,Eastern Mediterranean,LBN,Lebanon,2014,Male,49.3,2.67,48.3
AFR,Africa,LSO,Lesotho,2014,Male,49.8,,
AFR,Africa,LBR,Liberia,2014,Male,16.2,,17.2
EUR,Europe,LTU,Lithuania,2014,Male,38.6,5.11,77.6
EUR,Europe,LUX,Luxembourg,2014,Male,25.7,4.47,70.7
AFR,Africa,MDG,Madagascar,2014,Male,48.7,,
AFR,Africa,MWI,Malawi,2014,Male,23.3,,
WPR,Western Pacific,MYS,Malaysia,2014,Male,44.9,6.1,59.8
AFR,Africa,MLI,Mali,2014,Male,22.4,1.85,38.1
EUR,Europe,MLT,Malta,2014,Male,30.4,,
AFR,Africa,MUS,Mauritius,2014,Male,49.9,,
AMR,Americas,MEX,Mexico,2014,Male,23.8,5.15,65.8
WPR,Western Pacific,MNG,Mongolia,2014,Male,52,2.54,44.2
EMR,Eastern Mediterranean,MAR,Morocco,2014,Male,31.7,4.81,68.4
AFR,Africa,MOZ,Mozambique,2014,Male,26.7,,
SEAR,South-East Asia,MMR,Myanmar,2014,Male,73.1,,
AFR,Africa,NAM,Namibia,2014,Male,28.1,,
WPR,Western Pacific,NRU,Nauru,2014,Male,54.6,,
SEAR,South-East Asia,NPL,Nepal,2014,Male,53.4,1.73,46.6
EUR,Europe,NLD,Netherlands,2014,Male,27.4,7.22,74.8
WPR,Western Pacific,NZL,New Zealand,2014,Male,18.5,10.61,75
AFR,Africa,NER,Niger,2014,Male,15.7,,
AFR,Africa,NGA,Nigeria,2014,Male,9.7,,
EUR,Europe,NOR,Norway,2014,Male,22.8,9.31,67.2
EMR,Eastern Mediterranean,OMN,Oman,2014,Male,18.3,2.86,22.1
EMR,Eastern Mediterranean,PAK,Pakistan,2014,Male,37.9,1.1,60.7
WPR,Western Pacific,PLW,Palau,2014,Male,38.9,,
AMR,Americas,PAN,Panama,2014,Male,13.4,6.44,56.5
AMR,Americas,PRY,Paraguay,2014,Male,24.6,,
AMR,Americas,PER,Peru,2014,Male,20.4,3.7,39.5
WPR,Western Pacific,PHL,Philippines,2014,Male,44.3,1.86,53
EUR,Europe,POL,Poland,2014,Male,33.2,6.45,82.6
EUR,Europe,PRT,Portugal,2014,Male,33.6,5.93,79.6
EMR,Eastern Mediterranean,QAT,Qatar,2014,Male,27,,
WPR,Western Pacific,KOR,Republic of Korea,2014,Male,42.7,3.24,60.3
EUR,Europe,MDA,Republic of Moldova,2014,Male,44.2,2.06,51.6
EUR,Europe,ROU,Romania,2014,Male,38.2,6.16,77.3
EUR,Europe,RUS,Russian Federation,2014,Male,43.7,2.18,50.5
AFR,Africa,RWA,Rwanda,2014,Male,21.3,2.01,24.1
WPR,Western Pacific,WSM,Samoa,2014,Male,43.9,,
AFR,Africa,STP,Sao Tome and Principe,2014,Male,9.4,,
EMR,Eastern Mediterranean,SAU,Saudi Arabia,2014,Male,30.9,,
AFR,Africa,SEN,Senegal,2014,Male,19.2,1.91,37.9
EUR,Europe,SRB,Serbia,2014,Male,42.4,4.48,73.8
AFR,Africa,SYC,Seychelles,2014,Male,36.6,,
AFR,Africa,SLE,Sierra Leone,2014,Male,34.3,1.58,19.7
WPR,Western Pacific,SGP,Singapore,2014,Male,27.8,11.04,73.8
EUR,Europe,SVK,Slovakia,2014,Male,39.5,4.95,84.6
EUR,Europe,SVN,Slovenia,2014,Male,25.5,5.84,79.4
WPR,Western Pacific,SLB,Solomon Islands,2014,Male,56.1,,
AFR,Africa,ZAF,South Africa,2014,Male,46.7,5.48,48.1
EUR,Europe,ESP,Spain,2014,Male,32,6.39,78.8
SEAR,South-East Asia,LKA,Sri Lanka,2014,Male,43.8,8.42,73.5
EUR,Europe,SWE,Sweden,2014,Male,31.8,6.5,68.8
EUR,Europe,CHE,Switzerland,2014,Male,29,5.08,61.9
SEAR,South-East Asia,THA,Thailand,2014,Male,45.5,3.41,70.2
SEAR,South-East Asia,TLS,Timor-Leste,2014,Male,71.8,,
AFR,Africa,TGO,Togo,2014,Male,14.5,,
WPR,Western Pacific,TON,Tonga,2014,Male,48.8,,
EMR,Eastern Mediterranean,TUN,Tunisia,2014,Male,53.9,3.26,78.1
EUR,Europe,TUR,Turkey,2014,Male,44.2,5.63,82.2
WPR,Western Pacific,TUV,Tuvalu,2014,Male,70.1,,
AFR,Africa,UGA,Uganda,2014,Male,18.8,2.03,40.2
EUR,Europe,UKR,Ukraine,2014,Male,45.1,2.22,62.4
EMR,Eastern Mediterranean,ARE,United Arab Emirates,2014,Male,36.9,1.82,21.1
EUR,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2014,Male,23.8,11.2,81.3
AFR,Africa,TZA,United Republic of Tanzania,2014,Male,26.3,,
AMR,Americas,USA,United States of America,2014,Male,32.3,6.07,42.9
AMR,Americas,URY,Uruguay,2014,Male,28.5,3.71,65.6
EUR,Europe,UZB,Uzbekistan,2014,Male,24.7,2.31,31.1
WPR,Western Pacific,VUT,Vanuatu,2014,Male,47.5,,
EMR,Eastern Mediterranean,YEM,Yemen,2014,Male,34.5,1.94,53.7
AFR,Africa,ZMB,Zambia,2014,Male,26.5,1.81,21.3
AFR,Africa,ZWE,Zimbabwe,2014,Male,27.9,1.07,59.8